Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Calls,Churn,Int'l Plan,VMail Plan,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,State,Area Code,Phone
54,0,134,156,102,15,3,0,0,0,73,23,100,13,68,5,4,4,MT,408,418-6412
20,0,190,258,182,6,0,0,0,0,109,32,84,22,102,8,6,2,MO,415,353-2630
49,0,119,215,179,11,1,0,0,0,117,20,109,18,90,8,1,3,HI,510,410-7789
142,0,85,137,251,14,2,0,0,0,95,14,63,12,148,11,6,4,IL,415,416-8428
75,0,226,202,246,10,1,0,0,0,105,38,107,17,98,11,5,3,NH,510,370-3359
172,0,212,31,293,13,3,0,0,0,121,36,115,3,78,13,10,3,LA,408,383-1121
12,0,250,252,280,12,1,1,0,0,118,42,119,21,90,13,3,3,AZ,408,360-1596
57,25,177,195,214,8,0,0,0,1,94,30,75,17,116,10,4,2,OK,408,395-2854
72,37,220,217,153,15,3,0,0,1,80,37,102,18,71,7,6,4,GA,415,362-1407
36,30,146,163,129,15,0,0,0,1,128,25,80,14,109,6,6,4,AK,408,341-9764
78,0,131,224,228,10,1,0,0,0,64,22,116,19,108,10,5,3,MA,415,353-3305
136,33,204,188,102,11,3,0,1,1,106,35,99,16,107,5,6,3,AK,415,402-1381
149,0,140,272,188,11,1,0,0,0,94,24,92,23,108,8,9,3,NJ,408,332-9891
98,0,126,167,188,9,3,0,0,0,102,21,85,14,135,8,2,3,GA,408,372-9976
135,41,173,204,122,15,0,1,1,1,85,29,107,17,78,6,15,4,MD,408,383-6029
34,0,125,282,312,10,2,0,0,0,82,21,98,24,78,14,4,3,AR,510,353-7289
160,0,86,165,179,9,3,0,0,0,77,15,110,14,92,8,4,2,ID,415,390-7274
64,0,154,226,265,4,1,0,0,0,67,26,118,19,86,12,3,1,WI,510,352-1237
59,28,121,213,163,9,2,0,0,1,97,21,92,18,116,7,5,2,OR,408,353-3061
65,0,211,163,135,13,3,0,0,0,120,36,122,14,118,6,5,4,MI,415,363-5450
142,0,187,135,242,7,2,0,0,0,133,32,74,11,127,11,5,2,DE,408,364-1995
119,0,159,231,143,9,5,1,0,0,114,27,117,20,91,6,3,2,ID,415,398-1294
97,24,133,217,71,11,1,0,0,1,135,23,58,18,79,3,3,3,WY,415,405-7146
52,0,192,270,237,8,3,0,0,0,108,33,96,23,87,11,5,2,IA,408,413-4957
60,0,221,211,249,7,1,0,0,0,57,38,115,18,129,11,3,2,IN,408,420-5645
10,0,186,190,283,11,2,0,0,0,112,32,66,16,57,13,6,3,VA,408,349-4396
96,0,160,268,229,9,2,0,0,0,117,27,67,23,68,10,5,3,UT,415,404-3211
87,0,151,220,204,10,5,1,0,0,83,26,116,19,127,9,3,3,WY,415,353-3759
81,0,176,249,270,10,1,0,0,0,67,30,85,21,98,12,3,3,IN,408,363-5947
141,0,127,180,141,8,1,0,0,0,98,22,62,15,128,6,2,2,CO,415,340-5121
121,30,198,75,181,6,3,1,0,1,129,34,77,6,77,8,3,2,CO,408,370-7574
68,0,149,247,130,12,3,0,0,0,70,25,164,21,103,6,3,3,WI,415,403-9733
125,0,229,177,189,12,1,0,0,0,103,39,126,15,95,9,8,3,OK,408,355-7251
174,0,192,170,167,11,1,0,0,0,97,33,94,14,54,8,4,3,ID,408,359-5893
116,34,269,178,166,12,2,0,0,1,83,46,142,15,106,7,3,3,CA,415,405-3371
74,33,194,246,138,15,2,0,0,1,91,33,96,21,92,6,3,4,MN,510,344-5117
149,28,181,188,266,13,3,0,0,1,92,31,64,16,53,12,3,3,SD,408,332-8160
38,0,131,163,159,8,2,0,0,0,98,22,97,14,106,7,6,2,NC,408,359-4081
40,41,148,170,214,6,2,0,0,1,74,25,88,14,102,10,5,2,WA,415,352-8305
43,0,252,213,158,9,0,0,1,0,105,43,104,18,67,7,4,3,WY,415,329-9847
113,0,125,206,129,8,0,0,1,0,93,21,119,18,139,6,8,2,MN,408,365-9011
126,0,212,217,154,8,1,0,0,0,70,36,80,18,60,7,1,2,UT,408,338-9472
150,0,179,169,149,14,4,1,0,0,101,30,110,14,100,7,3,4,TX,510,374-8042
138,0,242,171,295,12,3,0,0,0,93,41,83,14,104,13,7,3,NJ,408,359-1231
162,46,225,188,255,12,0,0,0,1,97,38,84,16,61,11,2,3,MN,510,413-7170
147,0,249,149,173,8,3,0,0,0,83,42,85,13,109,8,4,2,NM,510,415-2935
90,0,203,227,152,7,1,0,0,0,146,35,117,19,105,7,4,2,NV,415,399-4246
85,0,236,157,188,12,0,0,0,0,109,40,94,13,99,8,3,3,HI,415,362-5889
50,0,157,223,181,6,1,0,0,0,90,27,72,19,111,8,2,2,MN,415,350-8921
82,0,300,181,270,12,0,1,0,0,109,51,100,15,73,12,4,3,DC,415,374-5353
144,0,62,77,173,8,4,1,0,0,117,10,85,7,99,8,7,2,NY,408,360-1171
46,0,214,164,178,8,2,0,0,0,72,36,104,14,113,8,3,2,MN,415,355-8887
70,0,170,155,229,15,1,0,0,0,98,29,102,13,76,10,2,4,MD,408,333-1967
144,0,201,304,224,13,1,0,0,0,99,34,74,26,119,10,2,4,WV,415,354-4577
116,0,215,205,279,13,3,0,1,0,104,37,79,17,109,13,5,3,OR,415,331-7425
55,25,166,136,176,11,3,0,0,1,123,28,95,12,90,8,2,3,CO,408,419-2637
70,24,250,260,223,10,1,0,0,1,101,42,98,22,68,10,4,3,GA,415,411-1530
106,0,211,249,191,12,2,1,0,0,96,36,85,21,88,9,1,3,TX,510,395-3026
128,29,179,226,323,9,0,0,0,1,104,30,86,19,78,15,7,2,VT,510,388-6441
94,0,158,155,190,8,4,1,0,0,105,27,101,13,84,9,5,2,IN,408,402-1251
111,0,214,209,182,12,1,0,0,0,118,36,76,18,98,8,2,3,WV,510,412-9997
74,35,154,123,202,11,2,0,0,1,104,26,84,10,57,9,9,3,KY,415,346-7302
128,0,238,248,209,14,1,1,0,0,125,40,93,21,68,9,4,4,NJ,415,358-9095
82,0,144,195,110,11,1,0,0,0,61,24,105,17,94,5,2,3,DC,510,400-9770
155,0,203,191,196,9,0,1,0,0,100,35,104,16,119,9,4,2,LA,415,334-1275
80,0,124,173,253,8,1,0,0,0,100,21,107,15,62,11,9,2,AR,415,340-4953
78,0,253,178,264,10,3,0,0,0,93,43,112,15,105,12,7,3,ME,415,400-9510
90,0,179,191,128,11,3,0,0,0,71,30,81,16,91,6,7,3,AZ,415,387-6103
104,0,278,81,163,10,1,0,0,0,106,47,113,7,137,7,5,3,AK,408,366-4467
73,0,160,213,174,13,0,0,0,0,110,27,72,18,72,8,4,4,MT,415,370-3450
99,0,198,207,191,9,4,0,0,0,87,34,76,18,113,9,3,2,AZ,415,327-3954
120,0,212,209,167,5,1,1,0,0,131,36,104,18,96,8,5,1,MS,408,355-6291
77,0,252,206,275,10,2,1,0,0,72,43,126,17,109,12,7,3,ID,415,362-9748
98,21,161,252,160,4,4,0,0,1,114,27,83,21,92,7,8,1,IA,510,379-6506
108,0,178,189,129,15,0,0,0,0,137,30,76,16,102,6,5,4,MA,415,347-7741
135,0,152,119,180,11,0,0,0,0,82,26,105,10,100,8,6,3,VT,415,354-3783
95,0,135,184,245,13,1,0,0,0,99,23,106,16,102,11,9,3,KY,408,401-7594
122,0,171,174,249,11,1,0,0,0,94,29,109,15,75,11,2,3,IN,408,397-4976
95,0,238,187,190,12,4,0,0,0,65,40,98,16,115,9,4,3,AZ,408,334-2577
36,29,281,202,187,9,2,0,0,1,102,48,76,17,113,8,6,2,MI,510,400-3637
93,21,118,165,217,10,1,0,0,1,131,20,115,14,86,10,3,3,NM,510,383-4361
141,32,149,131,219,10,1,0,0,1,91,25,97,11,142,10,1,3,CO,415,371-4306
157,0,230,148,241,10,3,0,0,0,90,39,121,13,108,11,7,3,UT,408,403-4298
120,0,165,317,119,8,1,0,0,0,100,28,83,27,86,5,8,2,MI,408,409-3786
103,0,185,223,223,13,2,0,0,0,117,31,94,19,91,10,2,3,MA,415,337-4697
98,0,161,191,228,12,4,0,0,0,117,27,113,16,113,10,4,3,AL,408,383-1509
125,0,127,206,248,13,1,0,0,0,108,22,90,18,114,11,7,4,DE,408,359-9794
63,0,59,170,211,9,1,0,0,0,125,10,59,14,88,10,3,3,AZ,415,407-7035
36,42,197,255,138,20,0,1,1,1,89,33,122,22,126,6,6,5,ME,510,363-1069
64,0,163,152,58,14,1,0,0,0,83,28,109,13,122,3,3,4,NJ,510,391-4652
74,0,283,220,170,9,1,1,0,0,114,48,48,19,115,8,4,3,NV,415,355-6837
112,36,114,158,178,10,2,0,0,1,117,19,82,13,118,8,3,3,MO,510,409-1244
97,0,240,215,143,9,2,0,0,0,125,41,111,18,81,6,5,2,ID,408,328-3266
46,0,210,227,200,13,1,0,0,0,92,36,77,19,116,9,7,4,NE,408,352-7072
41,22,214,142,142,7,0,0,0,1,102,36,86,12,123,6,3,2,TX,408,370-7550
121,0,191,184,221,10,3,0,0,0,103,32,117,16,103,10,4,3,MD,510,369-5526
193,0,171,132,113,12,1,0,0,0,124,29,95,11,89,5,3,3,MS,415,329-4391
130,0,154,110,227,9,2,0,0,0,119,26,98,9,117,10,5,2,NV,510,408-4195
85,0,201,229,253,12,1,0,0,0,52,34,104,20,106,11,3,3,AZ,408,354-4445
162,0,71,158,155,9,4,1,0,0,108,12,87,13,82,7,3,2,MS,415,335-4858
61,27,188,147,226,6,4,1,0,1,124,32,103,12,129,10,6,2,MS,510,414-8718
92,0,92,194,175,9,2,0,0,0,90,16,123,16,86,8,4,2,TX,408,409-5939
131,36,214,162,265,10,3,0,0,1,115,36,117,14,102,12,4,3,NE,408,331-4902
90,0,146,218,147,11,3,0,0,0,92,25,114,19,123,7,2,3,NE,415,353-6870
75,0,166,158,257,6,1,0,0,0,125,28,86,13,80,12,5,2,CA,408,355-2909
78,0,231,230,261,10,1,0,0,0,115,39,140,20,120,12,3,3,NJ,415,390-6101
82,0,200,201,206,7,4,0,0,0,96,34,102,17,60,9,1,2,TX,408,400-3446
163,0,197,203,206,9,1,0,0,0,109,33,128,17,80,9,10,2,AR,408,411-5859
91,0,130,173,247,11,3,0,1,0,112,22,83,15,130,11,3,3,AL,510,387-2919
75,21,176,218,238,5,5,0,0,1,97,30,106,18,134,11,4,1,NY,415,374-8525
91,0,203,210,196,12,3,0,0,0,106,35,113,18,129,9,3,3,FL,510,379-5592
127,36,183,127,263,11,1,0,0,1,117,31,76,11,71,12,8,3,AK,510,345-8237
113,23,205,152,159,10,2,0,0,1,101,35,60,13,59,7,5,3,NV,415,422-6690
110,0,149,276,194,12,1,0,0,0,115,25,84,23,112,9,3,3,DE,510,346-2359
120,39,200,220,254,11,0,0,0,1,68,34,97,19,116,11,4,3,MD,415,374-3534
157,28,193,196,110,7,3,0,0,1,107,33,74,17,139,5,5,2,MI,415,381-4756
103,0,247,196,201,12,1,0,0,0,47,42,84,17,96,9,4,3,VT,510,390-2805
117,0,167,178,249,14,2,1,1,0,86,28,87,15,132,11,7,4,VT,408,390-2390
140,0,232,160,110,14,3,0,0,0,101,39,94,14,98,5,6,4,MI,415,419-9097
127,0,147,204,203,14,1,0,0,0,91,25,78,17,110,9,3,4,WA,408,386-7281
83,0,272,216,121,12,1,0,1,0,87,46,126,18,105,5,4,3,UT,408,380-3561
121,0,182,218,162,9,1,0,0,0,121,31,98,19,103,7,5,2,LA,408,390-8760
145,43,258,162,287,11,2,0,0,1,97,44,95,14,86,13,4,3,RI,408,366-6730
113,0,194,221,172,11,1,0,0,0,99,33,125,19,67,8,6,3,IA,408,395-5285
117,0,103,207,299,10,1,0,0,0,119,17,91,18,105,13,7,3,NE,415,354-3436
65,0,188,158,227,8,1,0,0,0,116,32,117,13,86,10,6,2,OH,408,336-7600
56,0,226,249,141,7,1,0,0,0,112,38,118,21,142,6,11,2,RI,415,383-6293
96,0,260,146,270,12,5,0,0,0,115,44,46,12,87,12,4,3,OK,415,362-4596
151,0,179,292,266,10,0,0,0,0,116,30,138,25,101,12,4,3,LA,408,401-3926
83,0,337,227,154,16,0,1,0,0,120,57,116,19,114,7,7,4,OH,415,370-9116
139,23,158,247,259,14,0,0,0,1,129,27,96,21,112,12,2,4,VA,510,328-6289
6,0,184,257,179,10,1,0,0,0,117,31,72,22,79,8,2,3,MO,510,350-9994
115,24,142,183,165,10,1,0,0,1,124,24,129,16,114,7,4,3,FL,510,351-4616
87,0,136,172,138,7,0,0,0,0,97,23,108,15,101,6,5,2,SC,415,360-5779
141,0,217,242,254,12,0,0,0,0,110,37,111,21,103,11,6,3,VA,415,417-4885
141,36,188,241,230,11,3,0,0,1,99,32,116,21,105,10,5,3,IA,510,406-4710
62,0,99,135,237,12,1,0,0,0,103,17,122,12,82,11,1,3,MI,415,409-8743
146,0,206,149,167,6,1,0,0,0,151,35,89,13,91,8,3,2,OK,415,335-4584
92,33,243,214,229,12,2,0,0,1,92,41,92,18,104,10,2,3,DE,415,361-9845
185,31,190,163,265,8,1,0,0,1,126,32,133,14,126,12,3,2,GA,510,366-5699
148,0,202,243,261,11,1,0,0,0,102,34,128,21,90,12,3,3,DC,415,329-9364
94,38,170,193,106,13,1,0,0,1,124,29,116,16,73,5,4,3,AZ,408,390-7434
32,0,231,187,154,6,0,0,0,0,87,39,90,16,53,7,2,2,AL,510,404-9680
68,0,237,224,97,13,1,0,0,0,105,40,105,19,79,4,2,4,CO,408,338-9398
64,27,182,170,165,11,2,0,0,1,91,31,98,14,86,7,5,3,NH,408,394-2445
25,0,119,212,269,11,3,0,0,0,87,20,101,18,86,12,4,3,NM,415,381-2709
65,0,117,179,182,14,1,0,0,0,87,20,93,15,150,8,2,4,OR,415,397-5060
179,0,219,149,245,6,0,0,0,0,92,37,125,13,104,11,5,2,LA,408,415-2393
94,0,253,169,171,11,2,0,0,0,104,43,125,14,106,8,7,3,NE,415,377-1765
62,0,147,190,195,12,0,0,0,0,91,25,107,16,115,9,3,3,MN,415,409-2111
127,0,202,229,195,12,2,0,0,0,103,34,86,20,113,9,3,3,MI,415,401-3170
116,0,174,194,208,16,3,0,0,0,93,30,76,17,112,9,10,4,AR,408,405-5681
70,0,232,292,201,0,3,0,0,0,122,39,112,25,112,9,0,0,KS,408,411-4582
94,23,197,215,282,10,4,0,1,1,125,34,136,18,103,13,5,3,WV,510,355-5009
126,0,58,139,137,12,5,1,0,0,94,10,118,12,91,6,1,3,AK,415,372-3750
67,36,116,238,170,10,2,0,0,1,111,20,94,20,103,8,12,3,NY,408,405-2888
19,0,186,254,214,15,2,0,0,0,98,32,57,22,127,10,7,4,NH,408,361-3337
170,0,260,245,134,8,3,0,1,0,68,44,122,21,121,6,3,2,VA,510,350-1639
73,0,214,269,241,11,1,0,0,0,145,36,135,23,92,11,13,3,NM,415,333-3221
106,0,159,64,199,10,1,0,0,0,74,27,139,5,103,9,4,3,NY,408,422-1471
93,0,272,229,77,11,2,0,0,0,71,46,108,20,121,3,3,3,AZ,415,399-7865
164,0,161,163,187,9,1,0,0,0,111,27,126,14,112,8,3,2,WY,510,373-4819
51,0,232,187,231,9,1,0,0,0,109,40,95,16,107,10,3,2,WA,408,338-6981
107,0,134,181,112,9,0,0,0,0,85,23,94,15,115,5,4,2,CO,415,418-4365
130,0,177,91,238,10,1,0,0,0,109,30,104,8,69,11,2,3,TX,415,359-5461
80,0,210,195,208,9,2,0,0,0,74,36,77,17,119,9,4,2,KY,408,375-3586
94,0,138,203,150,13,0,0,0,0,118,23,88,17,131,7,2,4,MT,415,407-8376
118,23,290,167,119,10,1,0,0,1,52,49,111,14,88,5,4,3,OK,408,408-6496
117,23,198,177,181,7,1,0,0,1,86,34,86,15,92,8,6,2,MD,415,385-7688
78,0,150,182,262,10,0,0,0,0,119,25,115,15,126,12,8,3,TN,415,332-6934
208,0,327,176,182,11,2,1,0,0,67,56,113,15,102,8,6,3,TX,510,378-3625
131,26,293,200,255,14,4,1,1,1,101,50,97,17,127,11,7,4,ME,510,353-7292
63,0,83,177,246,13,0,0,0,0,64,14,106,15,89,11,3,4,DC,408,399-6786
53,24,146,221,250,13,3,0,0,1,146,25,136,19,96,11,5,4,MN,415,358-3261
62,0,182,328,245,11,2,0,0,0,101,31,93,28,131,11,1,3,DE,408,377-9932
97,0,218,184,241,6,3,0,0,0,86,37,94,16,110,11,8,2,MD,415,397-4030
105,0,141,179,217,7,2,0,0,0,109,24,51,15,83,10,3,2,MI,510,367-1062
157,0,153,258,198,9,1,0,0,0,105,26,80,22,93,9,4,3,WA,415,341-8467
66,36,107,210,190,12,1,0,0,1,76,18,77,18,117,9,2,3,MO,415,339-9453
122,0,244,84,180,14,2,0,0,0,98,41,72,7,84,8,8,4,IN,415,344-3388
38,0,194,187,223,11,3,0,0,0,94,33,95,16,90,10,5,3,OR,415,375-8013
106,0,214,152,260,12,3,0,0,0,95,36,70,13,124,12,5,3,MD,510,408-4142
99,0,217,247,226,16,3,0,0,0,112,37,89,21,89,10,7,4,RI,510,386-3671
99,0,241,156,188,12,1,0,0,0,72,41,98,13,109,8,10,3,LA,415,411-2284
144,0,204,248,194,12,0,0,1,0,100,35,103,21,94,9,11,3,AZ,510,346-7795
82,24,155,245,122,11,1,0,0,1,131,26,106,21,68,6,3,3,PA,415,333-5609
86,31,168,113,247,12,1,0,0,1,139,28,118,10,121,11,6,3,AZ,408,405-1842
70,0,227,228,73,18,2,1,1,0,98,39,115,19,93,3,4,5,FL,510,366-6345
93,0,179,179,225,12,3,0,0,0,93,30,98,15,131,10,6,3,LA,415,337-9345
93,0,151,186,173,11,0,0,0,0,89,26,76,16,120,8,3,3,FL,415,328-6770
120,0,180,224,265,5,3,0,0,0,80,31,82,19,91,12,7,1,FL,415,380-7321
136,0,250,267,151,13,1,1,0,0,121,43,118,23,114,7,2,4,MD,415,375-1476
106,0,223,110,189,7,0,0,0,0,121,38,98,9,107,8,12,2,AL,415,356-1567
81,0,184,153,212,12,3,0,0,0,116,31,98,13,99,10,6,3,WA,415,422-6685
127,22,166,175,245,10,1,0,0,1,114,28,103,15,68,11,6,3,TN,408,336-1090
65,0,136,273,220,4,1,0,0,0,112,23,96,23,104,10,2,1,MS,415,343-2095
35,0,149,242,174,9,2,0,0,0,113,25,122,21,104,8,6,2,ME,408,345-3934
88,0,65,168,236,14,2,0,0,0,97,11,76,14,113,11,1,4,OK,408,338-8050
65,0,213,235,250,3,1,0,0,0,111,36,94,20,123,11,4,1,IN,415,388-9568
123,0,207,245,222,8,3,0,0,0,85,35,78,21,136,10,2,2,MO,415,402-6591
126,27,186,190,77,10,2,0,0,1,78,32,83,16,139,3,3,3,IA,408,403-6419
104,23,280,221,137,13,4,0,0,1,136,48,92,19,102,6,3,4,VA,415,386-9790
45,22,197,313,163,12,0,0,0,1,84,33,92,27,108,7,3,3,KY,415,378-5692
93,0,312,129,218,11,0,1,1,0,109,53,100,11,74,10,2,3,MD,408,360-3324
63,36,199,291,198,11,1,0,1,1,110,34,111,25,92,9,6,3,OH,415,410-3719
100,0,203,217,181,14,3,0,0,0,96,35,126,18,122,8,2,4,OK,415,352-4221
53,0,169,220,154,11,0,0,0,0,97,29,87,19,113,7,2,3,NV,415,327-6179
92,0,173,240,233,9,1,0,1,0,140,29,105,20,117,10,5,2,ID,415,359-6196
139,0,134,211,194,10,5,1,0,0,106,23,98,18,125,9,2,3,MN,510,374-9107
110,40,203,119,235,9,2,0,0,1,103,34,128,10,98,11,9,2,SD,408,357-4078
110,0,75,201,192,10,3,0,0,0,117,13,98,17,101,9,7,3,IL,408,366-5780
215,0,84,121,227,11,0,0,0,0,148,14,91,10,110,10,9,3,WY,510,393-9619
73,0,192,169,140,9,1,0,0,0,86,33,116,14,87,6,6,3,AL,415,355-9295
138,0,220,88,195,13,0,0,0,0,89,37,125,8,79,9,5,3,NJ,510,400-5751
137,0,135,134,223,12,2,1,1,0,95,23,102,11,81,10,2,3,NV,415,338-1027
36,0,253,182,276,8,1,0,0,0,77,43,151,16,103,12,2,2,IN,415,405-8867
85,0,225,177,194,7,3,0,0,0,81,38,63,15,110,9,2,2,WV,408,336-5616
108,0,199,268,355,9,0,1,0,0,99,34,60,23,75,16,3,3,VA,408,335-1697
22,0,110,167,202,10,0,0,0,0,107,19,93,14,96,9,5,3,SC,408,331-5138
107,37,60,102,262,11,0,0,0,1,102,10,80,9,106,12,3,3,RI,415,385-8240
51,0,215,150,283,10,0,0,0,0,94,37,58,13,66,13,5,3,IN,510,348-1359
94,0,182,202,246,9,4,0,0,0,85,31,98,17,97,11,2,2,AZ,408,354-7339
119,23,154,278,228,12,2,0,0,1,114,26,137,24,112,10,4,3,NM,510,349-1687
33,29,157,118,279,14,4,1,0,1,99,27,80,10,79,13,11,4,OR,415,380-2558
106,0,208,172,192,14,4,0,0,0,91,35,109,15,143,9,7,4,NJ,415,365-2153
82,0,207,233,172,9,3,0,0,0,90,35,83,20,108,8,8,2,MS,408,345-6043
86,41,119,230,237,10,0,0,0,1,101,20,134,20,58,11,3,3,MI,510,349-2808
97,0,144,273,178,11,0,0,1,0,117,24,82,23,81,8,3,3,TX,415,411-1715
106,32,166,217,173,14,4,0,0,1,126,28,93,18,86,8,8,4,FL,408,385-2488
108,0,139,172,232,10,1,0,0,0,122,24,117,15,92,10,3,3,DC,510,377-7177
114,0,85,250,193,15,1,0,0,0,118,14,86,21,95,9,8,4,TX,415,342-1099
92,0,63,181,222,10,1,1,1,0,111,11,126,15,80,10,2,3,KS,408,386-4170
59,0,155,235,169,9,1,0,0,0,79,26,123,20,80,8,4,2,UT,510,413-1269
24,25,165,209,231,7,1,0,0,1,110,28,105,18,55,10,9,2,MN,510,396-4460
151,0,135,143,224,15,1,0,0,0,88,23,112,12,61,10,1,4,IL,408,334-2730
117,0,143,211,185,12,1,0,0,0,103,24,108,18,96,8,3,3,NM,415,340-3182
78,0,168,221,241,13,1,0,0,0,110,29,73,19,136,11,1,3,SC,510,377-8608
155,0,262,195,147,8,2,0,0,0,55,45,113,17,85,7,6,2,NC,408,417-3676
114,30,206,260,292,11,1,0,0,1,79,35,91,22,83,13,6,3,WV,510,417-6774
114,28,226,193,232,8,4,0,0,1,94,38,117,16,100,10,9,2,RI,510,411-9554
119,0,138,171,264,14,3,0,0,0,89,24,78,14,98,12,6,4,NH,408,420-3192
64,48,94,136,147,5,0,0,0,1,104,16,101,12,89,7,4,1,MO,510,389-1475
118,0,160,175,185,10,2,0,1,0,123,27,96,15,99,8,3,3,MA,408,343-7734
101,0,207,225,250,15,0,0,0,0,105,35,117,19,100,11,3,4,PA,415,410-3390
117,0,135,180,201,8,1,0,0,0,121,23,83,15,104,9,3,2,OK,415,344-6495
49,28,214,235,206,8,3,0,0,1,78,36,100,20,107,9,13,2,AL,415,331-6229
139,0,193,234,203,13,3,0,0,0,104,33,96,20,101,9,3,4,WY,415,337-7501
92,28,151,195,239,10,1,0,0,1,90,26,79,17,114,11,3,3,PA,408,339-9631
83,0,221,232,123,10,3,0,0,0,103,38,103,20,100,6,5,3,WA,415,369-4384
148,0,219,208,203,11,0,0,1,0,88,37,85,18,99,9,4,3,HI,510,416-3915
144,48,190,123,214,7,2,1,0,1,96,32,67,10,106,10,2,2,SD,408,339-3049
131,25,193,226,254,11,2,0,0,1,85,33,105,19,59,11,6,3,AL,415,361-7998
146,0,204,219,223,11,3,0,1,0,135,35,90,19,114,10,6,3,VT,510,355-4842
143,0,172,174,188,13,2,0,0,0,97,29,108,15,119,8,4,4,MT,415,387-6440
81,0,198,211,193,10,2,0,0,0,93,34,108,18,71,9,6,3,MN,415,369-2625
48,37,212,160,144,12,1,0,0,1,115,36,84,14,80,6,1,3,AK,415,389-7073
86,28,222,288,240,9,1,0,0,1,74,38,100,25,105,11,2,2,MI,415,370-8463
71,0,198,182,281,7,3,0,0,0,108,34,109,15,56,13,5,2,DE,415,362-7318
145,24,148,176,252,16,2,0,0,1,90,25,108,15,102,11,3,4,SD,408,412-1194
137,0,206,128,195,9,2,0,0,0,122,35,102,11,84,9,5,2,MI,510,355-9508
137,0,206,209,290,15,2,0,0,0,88,35,86,18,84,13,4,4,KS,408,352-8202
167,0,208,132,255,14,0,0,0,0,88,35,63,11,98,11,5,4,AL,510,335-5882
89,0,304,261,312,5,1,1,0,0,95,52,114,22,89,14,3,1,OK,510,352-6976
199,34,231,219,299,8,0,0,0,1,121,39,99,19,94,13,2,2,CT,415,393-6733
132,0,100,129,125,10,0,0,0,0,110,17,80,11,124,6,3,3,NE,510,335-1838
94,0,177,194,147,6,1,0,0,0,112,30,112,16,108,7,4,2,WI,510,355-6930
96,37,173,120,216,10,5,1,0,1,93,29,116,10,86,10,5,3,CT,415,387-5860
96,18,173,133,260,10,1,0,0,1,86,29,113,11,70,12,3,3,WI,510,343-2605
166,0,204,180,217,10,1,0,0,0,115,35,152,15,109,10,5,3,IN,510,350-6759
74,0,86,248,142,10,2,0,0,0,83,15,67,21,85,6,5,3,DC,415,371-1514
36,0,158,184,240,12,0,0,0,0,117,27,58,16,99,11,1,3,AR,415,346-9317
